FEATURES,PEARSON_SBP,PEARSON_DBP,MIC_SBP,MIC_DBP
AGE,0.42,0.04,0.2,0.1
MALE,0.01,-0.17,0.07,0.06
FEMALE,-0.01,0.17,0.07,0.06
HEIGHT,-0.15,0.1,0.1,0.08
WEIGHT,-0.03,0.15,0.35,0.32
BMI,0.07,0.09,0.54,0.51
PTT_PPG_PEAK,0.15,-0.0,0.07,0.02
PTT_PPG_NOTCH,0.23,-0.01,0.09,0.03
PTT_PPG_DIASTOLIC,0.22,-0.02,0.07,0.02
PTT_PPG_FOOT,0.15,-0.07,0.06,0.04
PTT_F,-0.05,-0.01,0.09,0.03
PTT_S,-0.03,-0.01,0.06,0.03
PTT_P,-0.01,-0.01,0.05,0.03
PTT_DN,0.08,-0.01,0.06,0.03
PTT_DP,0.07,-0.02,0.05,0.03
ECG_HR,-0.14,0.08,0.06,0.04
PPG_HR,-0.14,0.08,0.06,0.04
S1_TIME,0.3,-0.01,0.09,0.02
S2_TIME,0.08,-0.0,0.05,0.02
S3_TIME,0.24,-0.01,0.07,0.02
S4_TIME,-0.01,-0.06,0.02,0.01
S5_TIME,-0.11,-0.1,0.03,0.02
S1,0.1,-0.01,0.03,0.02
S2,0.09,-0.0,0.04,0.03
S3,0.22,-0.01,0.06,0.03
S4,-0.09,-0.08,0.04,0.03
S5,-0.17,-0.08,0.05,0.03
LASI,-0.23,0.0,0.07,0.02
AI,-0.25,-0.01,0.07,0.03
IPA,-0.23,-0.05,0.07,0.03
